"Date Time","Date Time(RAW)","%idle","%idle(RAW)","%user","%user(RAW)","%system","%system(RAW)","%iowait","%iowait(RAW)","%used","%used(RAW)","Coverage","Coverage(RAW)"
"4/18/2020 12:51:32 PM","43939.2441212269","99.81 %","99.8100","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.19 %","0.1900","100 %","0000010000"
"4/18/2020 12:52:32 PM","43939.2448157639","99.78 %","99.7800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.22 %","0.2200","100 %","0000010000"
"4/18/2020 12:53:32 PM","43939.2455107870","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 12:54:32 PM","43939.2462046065","99.78 %","99.7800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.22 %","0.2200","100 %","0000010000"
"4/18/2020 12:55:32 PM","43939.2468989699","99.82 %","99.8200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.18 %","0.1800","100 %","0000010000"
"4/18/2020 12:56:32 PM","43939.2475934838","99.78 %","99.7800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.22 %","0.2200","100 %","0000010000"
"4/18/2020 12:57:32 PM","43939.2482880556","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 12:58:32 PM","43939.2489825231","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 12:59:32 PM","43939.2496767940","99.64 %","99.6400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.36 %","0.3600","100 %","0000010000"
"4/18/2020 1:00:32 PM","43939.2503712616","99.73 %","99.7300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.27 %","0.2700","100 %","0000010000"
"4/18/2020 1:01:32 PM","43939.2510656713","99.81 %","99.8100","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.19 %","0.1900","100 %","0000010000"
"4/18/2020 1:02:32 PM","43939.2517603819","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 1:03:32 PM","43939.2524559491","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 1:04:32 PM","43939.2531492824","99.78 %","99.7800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.22 %","0.2200","100 %","0000010000"
"4/18/2020 1:05:32 PM","43939.2538436343","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:06:32 PM","43939.2545381944","99.83 %","99.8300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.17 %","0.1700","100 %","0000010000"
"4/18/2020 1:07:32 PM","43939.2552323148","99.83 %","99.8300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.17 %","0.1700","100 %","0000010000"
"4/18/2020 1:08:32 PM","43939.2559268750","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:09:27 PM","43939.2565648495","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:10:32 PM","43939.2573156250","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:11:32 PM","43939.2580105903","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 1:12:32 PM","43939.2587047222","99.89 %","99.8900","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.11 %","0.1100","100 %","0000010000"
"4/18/2020 1:13:32 PM","43939.2593991319","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:14:32 PM","43939.2600934954","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:15:32 PM","43939.2607877778","99.82 %","99.8200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.18 %","0.1800","100 %","0000010000"
"4/18/2020 1:16:32 PM","43939.2614822685","99.82 %","99.8200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.18 %","0.1800","100 %","0000010000"
"4/18/2020 1:17:32 PM","43939.2621769792","99.77 %","99.7700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.23 %","0.2300","100 %","0000010000"
"4/18/2020 1:18:32 PM","43939.2628712847","99.74 %","99.7400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.26 %","0.2600","100 %","0000010000"
"4/18/2020 1:19:32 PM","43939.2635658218","99.64 %","99.6400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.36 %","0.3600","100 %","0000010000"
"4/18/2020 1:20:32 PM","43939.2642601505","99.57 %","99.5700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.43 %","0.4300","100 %","0000010000"
"4/18/2020 1:21:32 PM","43939.2649545139","99.78 %","99.7800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.22 %","0.2200","100 %","0000010000"
"4/18/2020 1:22:32 PM","43939.2656489583","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:23:32 PM","43939.2663434954","99.82 %","99.8200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.18 %","0.1800","100 %","0000010000"
"4/18/2020 1:24:32 PM","43939.2670380903","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:25:32 PM","43939.2677322917","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 1:26:32 PM","43939.2684267708","99.66 %","99.6600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.34 %","0.3400","100 %","0000010000"
"4/18/2020 1:27:32 PM","43939.2691215162","99.7 %","99.7000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.3 %","0.3000","100 %","0000010000"
"4/18/2020 1:28:32 PM","43939.2698157407","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 1:29:32 PM","43939.2705102662","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
